"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
xx34,Focusrite,Scarlett Solo,Placa de audio Usb 2.0,Placas USB - Firewire,,"0,58",,SI,0,"16,5",14,8,xx34,75,75,xx34,,,,,,,#REF!,,,,,,,,,,,,,,xx34,Focusrite,Scarlett Solo,Focusrite Scarlett Solo,Recording,Interfaces de audio,Placa de audio Usb 2.0,,,,,,
9,Focusrite,Saffire 6,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"1,685",,SI,0,,,,9,200,200,9,A,,,Placa Usb Interfaz de audio / sonido,Focusrite Saffire 6 - Placa de sonido USB,"1,69",#REF!,"(1) Focusrite Saffire 6 USB Interface
 (1) Installer CD
 (1) Focusrite Plug-in Suite
 (1) Xcite+ Pack DVD
 (1) USB Cable
 (4) Adhesive Rubber Feet
 (1) Product Registration Card
 (1) User Guide",si,Focusrite Saffire 6 - Placa usb Nueva con Garantia en Argentina!,64,Saffire 6,,,Placa de sonido externa,Placa de audio externa usb 2.0,Placa de sonido Usb 2.0,http://us.focusrite.com/usb-audio-interfaces/saffire-6-usb,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/downloads/7066/saffire-6-usb-manual-del-usuario.pdf,Diseñado en Inglaterra y Fabricado en China,9,Focusrite,Saffire 6,Focusrite Saffire 6,Recording,Interfaces de audio,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
10,Focusrite,Saffire Pro 24,Placa de audio Firewire,Placas USB - Firewire,Placa Firewire Interfaz de audio / sonido,"2,2",2,SI,"0,01","31,5",27,"11,5",10,188,259,10,A,,,Placa Firewire Interfaz de audio / sonido,Focusrite Saffire Pro 24 - Interfaz de audio firewire,"2,23",#REF!,"(1) Saffire Pro 24 Interface
 (1) Firewire cable
 (1) Driver and Software CD
 (1) Xcite+Pack (Incl. Abbleton Live Lite 7)
 Quick Start Guide (Printed)",si,Focusrite Saffire Pro 24 Placa Firewire Nueva c/gtia en Arg!,60,Saffire Pro 24,,,Placa de sonido externa,Placa de audio externa Firewire,Placa de sonido Firewire,http://us.focusrite.com/firewire-audio-interfaces/saffire-pro-24,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/downloads/7095/sp24userguidev13spanish0.pdf,Diseñado en Inglaterra y Fabricado en China,10,Focusrite,Saffire Pro 24,Focusrite Saffire Pro 24,Recording,Interfaces de audio,Placa de audio Firewire,Placa Firewire Interfaz de audio / sonido,,,,,
11,Focusrite,Saffire Pro 24 DSP,Placa de audio Firewire,Placas USB - Firewire,Placa Firewire Interfaz de audio / sonido,"2,24",,SI,"0,01","31,5","26,5","11,5",11,299,299,11,B,,,Placa Firewire Interfaz de audio / sonido,Focusrite Saffire Pro 24 DSP - Placa de audio firewire,"2,27",#REF!,"(1) Saffire Pro 24 DSP Interface
 (1) FireWire cable 96-pin)
 (1) Driver and Software CD
 (4) Self adhesive Rubber Feet
 (1) Xcite+Pack (Incl. Abbleton Live Lite 7)
 (1) Quick Start Guide (Printed)",si,Focusrite Saffire Pro 24 Dsp Placa Firewire Nueva c/ gtia !,59,Saffire Pro 24 DSP,,,Placa de sonido externa,Placa de sonido Firewire con efectos DSP,Placa de sonido Firewire,http://us.focusrite.com/firewire-audio-interfaces/saffire-pro-24-dsp,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/downloads/7044/sp24dspuserguidev14spanish0.pdf,Diseñado en Inglaterra y Fabricado en China,11,Focusrite,Saffire Pro 24 DSP,Focusrite Saffire Pro 24 DSP,Recording,Interfaces de audio,Placa de audio Firewire,Placa Firewire Interfaz de audio / sonido,,,,,
12,Focusrite,Scarlett 2i2,Placa de audio Usb 2.0,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"0,855",,SI,0,24,"16,5","9,5",12,112,99,12,A,,,Placa Usb Interfaz de audio / sonido,Focusrite Scarlett 2i2 - Placa de audio USB,"0,86",#REF!,"(1) Focusrite Scarlett 2i2 2 in 2 out USB Audio Interface
 (1) USB Cable
 (1) Getting Started Guide",si,,,2i2,,,Placa de sonido externa,Placa de sonido Usb 2.0,Placa de sonido Usb 2.0,http://us.focusrite.com/usb-audio-interfaces/scarlett-2i2,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/downloads/7317/scarlett-2i2-user-guide1.pdf,Diseñado en Inglaterra y Fabricado en China,12,Focusrite,Scarlett 2i2,Focusrite Scarlett 2i2,Recording,,Placa de audio Usb 2.0,Placa Usb Interfaz de audio / sonido,,,,,
40,Focusrite,Scarlett 2i4,Placa de audio Usb 2.0,Placas USB - Firewire,Placa Interfaz de audio / sonido Usb 2.0,"1,18",1,SI,0,27,"18,5",9,40,157,124,40,A,,,Placa Interfaz de audio / sonido Usb 2.0,,"1,18",#REF!,"(1) Focusrite Scarlett 2i4
 (1) USB Cable [USB Powered]
 (1) Live Lite Software Download Code
 (1) Getting Started Guide",si,,,2i4,,,Placa de sonido externa,Placa de sonido Usb 2.0,Placa de sonido Usb 2.0,http://us.focusrite.com/usb-audio-interfaces/scarlett-2i4,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/focusrite/downloads/8174/scarlett2i4-user-guide.pdf,Diseñado en Inglaterra y Fabricado en China,40,Focusrite,Scarlett 2i4,Focusrite Scarlett 2i4,Recording,Interfaces de audio,Placa de audio Usb 2.0,Placa Interfaz de audio / sonido Usb 2.0,,,,,
47,Focusrite,Scarlett Studio,Pack de grabacción,Electronica audio video otros,Combo de grabación,"2,09",,SI,0,,,,47,150,150,47,B,,,Combo de grabación,,"2,09",#REF!,"(1) Focusrite Scarlett 2i2
 (1) USB Cable
 (1) Scarlett Studio Microphone
 (1) Scarlett Studio Headhpones
 (1) 3m XLR Cable
 (1) Microphone Clip
 (1) Software Download Card
 (1) Cubase LE6 Installation Disc
 (1) Manual",si,,,Scarlett Studio,,,Pack de grabacción,Pack de Grabacion: Placa Scarlett 2i4 + mic + auriculares,Combo Placa Scarlett 2i4 - Microfono y auriculares,http://us.focusrite.com/usb-audio-interfaces/scarlett-studio,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/focusrite/downloads/8311/scarlett-studio-user-guide-english-01.pdf,Diseñado en Inglaterra y Fabricado en China,47,Focusrite,Scarlett Studio,Focusrite Scarlett Studio,Recording,Interfaces de audio,Pack de grabacción,Combo de grabación,,,,,
52,Focusrite,Scarlett 18i20,Interfaz de audio Usb 2.0,Electronica audio video otros,Placa Interfaz de audio / sonido Usb 2.0,"4,62",,SI,"0,02","33,5",60,"8,2",52,290,290,52,A,,,Placa Interfaz de audio / sonido Usb 2.0,,"4,62",#REF!,"(1) Focusrite Scarlett 18i20
 (1) USB Cable
 (1) Software Download Card
 (4) Rubber Feet
 (1) Manual",si,,,Scarlett 18i20,,,Placa de sonido externa,Placa interfaz de audio USB 2.0,Placa de audio profesional USB 2.0,http://us.focusrite.com/usb-audio-interfaces/scarlett-18i20,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/focusrite/downloads/8424/scarlett18i20-user-guide-en_0.pdf,Diseñado en Inglaterra y Fabricado en China,52,Focusrite,Scarlett 18i20,Focusrite Scarlett 18i20,Recording,Interfaces de audio,Interfaz de audio Usb 2.0,Placa Interfaz de audio / sonido Usb 2.0,,,,,
59,Focusrite,Scarlett 6i6,Placa de audio Usb 2.0,Placas USB - Firewire,Placa Interfaz de audio / sonido Usb 2.0,"1,835",,SI,"0,01",27,28,9,59,181,179,59,A,,,Placa Interfaz de audio / sonido Usb 2.0,,"1,84",#REF!,"(1) Focusrite Scarlett 6i6
 (1) USB Cable
 (1) Software Download Card
 (1) Manual",si,,,Scarlett 6i6,,,Placa de sonido externa,Placa de audio externa usb 2.0,Placa de sonido Usb 2.0,http://us.focusrite.com/usb-audio-interfaces/scarlett-6i6,http://d3se566zfvnmhf.cloudfront.net/sites/default/files/focusrite/downloads/9439/scarlett6i6-user-guideen.pdf,Diseñado en Inglaterra y Fabricado en China,59,Focusrite,Scarlett 6i6,Focusrite Scarlett 6i6,Recording,Interfaces de audio,Placa de audio Usb 2.0,Placa Interfaz de audio / sonido Usb 2.0,,,,,
xx11,Focusrite,Liquid Saffire 56,Interfaz de audio Firewire,Electronica audio video otros,,"5,73",,SI,"0,03",60,32,"16,5",xx11,631,631,xx11,,,,,,,#REF!,"(1) Liquid Saffire 56
 (1) Firewire Cable
 (1) Saffire Range Resources CD
 (1) Owner's Manual",si,,,,,,,,,,,,xx11,Focusrite,Liquid Saffire 56,Focusrite Liquid Saffire 56,Recording,Interfaces de audio,Interfaz de audio Firewire,,,,,,
